title column,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Time,Th_p (K),Tc_p (K),Tm_p (K),deltaT_p,rho_p,visc_p,k_p,cp_p,kin_visc_p,therm_diff_p,deltaT_sf_p,u_ref_p,beta_p,deltaP_p,k_peb_p,rho_peb_p,cp_peb_p,k_refl_p,cp_refl_p,rho_refl_p,T_rv_p,rho_rv_p,k_rv_p,cp_rv_p,Tm_m(K),rho_m,visc_m,cp_m,k_m,beta_m,qsource_p,u_ref_hx_p,q_RVACS_p,T_m
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
////prototype dimensions/////,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Component,Acronym,area,radius,length,dh,volume,width,porosity,Ts_initial,form factor K,friction factor f,,,,,,,,,,,,,,,,,,,,,,,
Core_Lower_Section,CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipe_from_Lower_Plenum_to_Active_Core,PLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core_Active_Section,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipe_from_Active_Core_to_Upper_Plenum,PUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core_Upper_Section,CU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outer_Reflector_Lower,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outer_Reflector_Active,ORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outer_Reflector_Upper,ORU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downcomer_Upper_Section,DU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downcomer_Middle_Section,DM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downcomer_Lower_Section,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactor_Vessel_Lower,VL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactor_Vessel_Middle,VM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactor_Vessel_Upper,VU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermosyphon_Panel_Lower,TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermosyphon_Panel_Middle,TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermosyphon_Panel_Upper,TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavity,CAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower_Plenum,LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper_Plenum,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipe_from_Pump_Pool_to_Pump,PTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipe_From_Pump_to_Intermediate_HX,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intermediate_HX,IHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipe_from_Intermediate_HX_to_Downcomer,HXD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipe_from_Pump_Pool_to_Fluidic_Doide,PFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipe_from_Fluidic_Diode_to_Downcomer,FDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
